,,iou,iou,iou,iou,iou,iou,iou,iou,dice,dice,dice,dice,dice,dice,dice,dice,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,specificity,specificity,specificity,specificity,specificity,specificity,specificity,specificity
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
level_0,level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inceptionresnet,derm3,5.0,0.21439918237320654,0.006339020941180228,0.2067594176348071,0.21047724582773636,0.2143968884531258,0.21700925968570883,0.22335310026465446,5.0,0.3374450034012276,0.009119953427239761,0.32726520720775554,0.3312448354447167,0.33704536362912035,0.34085049984435156,0.3508191108801937,5.0,0.36594409096090896,0.013264304887348621,0.344430974740545,0.36409048776498637,0.36769117230720005,0.376137284546391,0.37737053544542254,5.0,0.38552841972486157,0.018834198466751946,0.3581506448979967,0.37797158267165754,0.3868270608506348,0.39760910345680295,0.4070837067472157,5.0,0.8437135120518103,0.011762468429644636,0.8291835187283977,0.8370559146713814,0.8422770998571126,0.8505538073498657,0.8594972196522939,5.0,0.8534790762091209,0.01166311570103862,0.8346375126272014,0.8529323011284304,0.8537995203261431,0.8611536412471501,0.8648724057166793
inceptionresnet,derm4,5.0,0.17446555250257784,0.008484452688662242,0.16363398898731582,0.17158424153520557,0.17219283392768517,0.17862532240688062,0.18629137565580195,5.0,0.2818160157755503,0.01186225052510312,0.2679573427338276,0.275719393383106,0.27895382504611205,0.2875190882647334,0.2989304294499726,5.0,0.30604207211946577,0.01743202391673562,0.2751156611065327,0.3112846790851537,0.3124785774174419,0.3140978965079579,0.3172335464802425,5.0,0.36172121304062244,0.011848140404185848,0.34524104409780987,0.35839694568585156,0.3601082010302292,0.3675868158580415,0.3772730585311801,5.0,0.8411566019241459,0.015360556525426089,0.8321771036672284,0.8321914335928305,0.8331650065183679,0.8402941379468232,0.867955327895479,5.0,0.8394994307301857,0.0056841352683898545,0.8299567804003399,0.838801239038465,0.8417924262467046,0.8428229819473917,0.8441237260180272
inceptionresnet,derm5,5.0,0.15068375815324103,0.011644363741519814,0.1317624869107041,0.14867280419328616,0.154748597260201,0.15583651286699085,0.16239838953502297,5.0,0.2487226648588825,0.016937895837299002,0.2204080313739768,0.24747169873869235,0.25538207298960675,0.2558403623801883,0.26451115881194837,5.0,0.2540770368195103,0.01842713875034909,0.2247654129098173,0.2500606795121852,0.2571897062686305,0.26628951532202355,0.27207987008489504,5.0,0.34503952185134545,0.011978811299290166,0.3333413023158731,0.3364812662516708,0.34540767628776503,0.345874142871803,0.3640932215296151,5.0,0.8764052477691473,0.008804000524653148,0.8675919031176301,0.8717353122629421,0.8732391191300619,0.879165215777883,0.8902946885572189,5.0,0.8552453633012348,0.008197802425757312,0.8427825007846932,0.8519856722113965,0.8581314685880952,0.8591987828152929,0.8641283921066953
inceptionresnet,derm6,5.0,0.15445688254865178,0.010241158966951948,0.1378722453464074,0.15276199403780366,0.1562080259395131,0.16173560542489732,0.16370654199463738,5.0,0.2556527845019366,0.01575301936480219,0.22978749617942615,0.253588361822924,0.2589405044946532,0.26640334499693075,0.26954421501574893,5.0,0.27649178540729225,0.009793630133202617,0.2657995955517603,0.2663207364968494,0.2815551171045192,0.28161399297309175,0.2871694849102404,5.0,0.3689267639629156,0.02430002904784682,0.33475840026553094,0.35333084493646777,0.37995495844462285,0.38199431051667027,0.39459530565128625,5.0,0.8672305620962522,0.013813896654700758,0.8520782304986294,0.8585343770312686,0.8663590282982281,0.8708791535447759,0.8883020211083593,5.0,0.8402733262232898,0.004156345881661052,0.8352696612258524,0.8373128610952896,0.8400159157668552,0.8435365405401009,0.845231652488351
inceptionresnet,derm7,5.0,0.16594302571281383,0.006807916024851158,0.15668428151626929,0.16076065213253488,0.1693869003415662,0.1709519578466847,0.17193133672701405,5.0,0.26759105567795344,0.009982175479074472,0.2546269445875041,0.2589974330832704,0.27421628857923697,0.27425940799095133,0.27585520414880454,5.0,0.25627748235861214,0.016912041885869825,0.22965584652008375,0.2505115515485032,0.2617606887439051,0.2674798472403295,0.27197947774023884,5.0,0.4345741541431554,0.01521435849740521,0.41190586488780895,0.4271032584027872,0.44071047197450386,0.4426693117212438,0.45048186372943305,5.0,0.913360823710333,0.007826998942890637,0.906792423244472,0.9080200923595436,0.9125164532963983,0.9129795617005229,0.9264955879507282,5.0,0.8502514033707722,0.007264438694404416,0.8438516449803936,0.8442757065938985,0.8478645304480887,0.8544891543750963,0.8607759804563843
inceptionresnet,derm8,5.0,0.20870715626239997,0.008367924791762243,0.20350731560435434,0.20375976911387672,0.20404975018436364,0.20913474542465316,0.2230842009847521,5.0,0.3256963629046708,0.011828613517165874,0.3155725864884341,0.31993984352843313,0.320233100706384,0.32724632577059415,0.34548995802950844,5.0,0.3666465917876897,0.019178554293854313,0.35249570008252556,0.35826751559280173,0.3595395058839787,0.36260878054888307,0.4003214568302595,5.0,0.39426489950845656,0.0034180690555285585,0.3911682236808631,0.3915719299550815,0.3928847801878659,0.39678118329103795,0.39891838042743444,5.0,0.8418863795768962,0.0058723949337303565,0.8338666703231481,0.8392465401663411,0.8428788727859987,0.8436421989812822,0.8497976156277104,5.0,0.8570327459743758,0.006312885353635879,0.8491109832204218,0.8547699887273761,0.8571770750150814,0.857518961089255,0.8665867218197446
mobilenetv1,derm1,5.0,0.15056153989868296,0.010073712236553886,0.13289814124149674,0.15204184856132213,0.1542645498960513,0.15653393682188116,0.15706922297266346,5.0,0.2503051003095397,0.014246910903161061,0.2250821252295863,0.2534513577267092,0.2561718225635466,0.25840427008759265,0.2584159259402636,5.0,0.2168786851121885,0.01861149631189052,0.18646571695689668,0.2113980582800479,0.22814985823184927,0.22874599032890858,0.2296338017632399,5.0,0.4589625604723534,0.008348415891559918,0.4498279670988662,0.4523037446523385,0.45753475713578484,0.46699012964632264,0.46815620382845474,5.0,0.9005045009574143,0.008137889642877294,0.8924387560898162,0.8940795485247354,0.8978033385446242,0.9077797418365474,0.9104211197913489,5.0,0.7669647956332457,0.008878796966142848,0.753079832402444,0.7636224816024966,0.7705705590565247,0.7721030505680305,0.7754480545367329
mobilenetv1,derm2,5.0,0.17610438694401426,0.007242799938293421,0.16694236353970954,0.17092271782645255,0.17652372180823417,0.18208663560637844,0.18404649593929656,5.0,0.28310116590492285,0.008974542501927201,0.27174891019826536,0.276997512824314,0.2828937471679418,0.29190308264231746,0.29196257669177555,5.0,0.26919338585541486,0.013359377689648557,0.24846677318502552,0.2656443162536957,0.270226057738169,0.2803058016692925,0.28132398043089135,5.0,0.47716536985544994,0.00659304924071432,0.4689134384477085,0.47441158633742714,0.47626052497486376,0.47948430297706823,0.4867569965401823,5.0,0.8691491505547135,0.005606752238483629,0.8634366803324175,0.86380641034386,0.8693782523994649,0.8728430928085693,0.8762813168892563,5.0,0.7754955467087614,0.01413136716962744,0.7503874746113652,0.780290297048722,0.7804803068464213,0.7819255255367452,0.7843941295005534
mobilenetv1,derm3,5.0,0.19694427898322814,0.006529452166139027,0.185905483279367,0.19731880742357022,0.19806446725490168,0.20078353861495574,0.2026490983433459,5.0,0.3130915800565628,0.007801567992183188,0.29974231755061126,0.31370958259560655,0.3152128936910606,0.3169669267276045,0.319826179717931,5.0,0.2955351698976674,0.01319600162779451,0.2725567728914866,0.2974219423483368,0.30055009248172604,0.30127226308327654,0.305874778683511,5.0,0.4504462607209363,0.005798834782109628,0.44089545088243154,0.4508713583016752,0.45105340292432655,0.4529089345971516,0.4565021568990967,5.0,0.8531081033973262,0.004230798513566919,0.8462769366387443,0.8526023896941815,0.8541442289278641,0.8548883118678668,0.8576286498579745,5.0,0.7725914513947413,0.011721004479713108,0.7538757265782122,0.7681597404876074,0.7795340108801103,0.780458063386982,0.7809297156407948
mobilenetv1,derm4,5.0,0.17494190550975358,0.008206554340776774,0.16373482924892563,0.1697125154068696,0.177555236245541,0.17920054846615552,0.18450639818127626,5.0,0.2816747595175196,0.011718666164836843,0.26640599480728155,0.27311195336240535,0.2861211021870804,0.28717284012119443,0.29556190710963626,5.0,0.26607037883252527,0.016625936210406367,0.24847207060276438,0.24991376537443327,0.26715496818398876,0.2821833210598844,0.2826277689415556,5.0,0.46077280021349853,0.015487612359176322,0.4372451285072363,0.46016615503477,0.46233712630111357,0.4634439743446909,0.4806716168796818,5.0,0.8539086805363075,0.007714348730026145,0.8466601070302712,0.8490135275849174,0.8493640847740116,0.8613481413845918,0.8631575419077454,5.0,0.772076854185707,0.005091307411846974,0.7636089902537201,0.772447926282365,0.7732501570912449,0.7737359282165618,0.7773412690846438
