,,iou,iou,iou,iou,iou,iou,iou,iou,dice,dice,dice,dice,dice,dice,dice,dice,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,specificity,specificity,specificity,specificity,specificity,specificity,specificity,specificity
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
level_0,level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inception,Dermatoglyph disruption,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
inception,Leukotrichia,2.0,0.062459821902927315,0.038565846765170116,0.03518965013307424,0.048824736018000775,0.062459821902927315,0.07609490778785384,0.08972999367278038,2.0,0.11633492083570027,0.06837446813384607,0.06798687075823422,0.09216089579696723,0.11633492083570027,0.1405089458744333,0.16468297091316633,2.0,0.08630948991727663,0.045228327423972356,0.05432823289406029,0.07031886140566845,0.08630948991727663,0.10230011842888481,0.11829074694049298,2.0,0.18088191304156004,0.1273669900309661,0.09081985069134452,0.13585088186645228,0.18088191304156004,0.2259129442166678,0.27094397539177556,2.0,0.9275629376569916,0.015378397857587434,0.9166887682481069,0.9221258529525493,0.9275629376569916,0.9330000223614339,0.9384371070658764,2.0,0.8548803812841633,0.012243644566805082,0.8462228171845376,0.8505515992343504,0.8548803812841633,0.8592091633339762,0.863537945383789
inception,Macule,5.0,0.13265468094613675,0.004078076408393926,0.12612811193771292,0.1323358727730797,0.1332457642873029,0.13438225438462795,0.1371814013479603,5.0,0.21187853143005642,0.006342796372411465,0.200912292177314,0.21358468333808098,0.21364936374316287,0.21381006930929397,0.21743624858243005,5.0,0.25376094208882416,0.013961244326934224,0.2358132164391295,0.24401414852120104,0.2550479558136678,0.26449386964057836,0.26943552002954413,5.0,0.3786975425400835,0.008938016171371905,0.3655397727725633,0.3746152547784271,0.3811600990825249,0.3833928657313336,0.38877972033556857,5.0,0.8672434651179524,0.006430520564183099,0.8603996336537396,0.8614968799417372,0.866943337930684,0.872599707144225,0.874777766919376,5.0,0.7984268491360533,0.008856984427688945,0.7833718215824906,0.7991098956441334,0.7999170457379349,0.8040094248950628,0.8057260578206455
inception,Nodule,5.0,0.04072511143051545,0.004204100089862052,0.03413633069893009,0.03908160540393119,0.04231755173902009,0.04399483455440914,0.04409523475628673,5.0,0.06861015104440851,0.0065296722725231415,0.05828452740353488,0.06627701780162469,0.07099658850348854,0.07362566930796767,0.07386695220542677,5.0,0.05043822779389258,0.004205846721742274,0.04379816391392304,0.049424464752606985,0.05109308775202616,0.0533390411187693,0.05453638143213739,5.0,0.4376253067054992,0.05598596588116033,0.36649528174182533,0.4136980461261051,0.4359421408360054,0.45265240167004167,0.5193386631535187,5.0,0.9810593997581074,0.0007817757138215238,0.98009729843924,0.9806173670308154,0.9809303449030579,0.9815694090102741,0.9820825794071493,5.0,0.7650839278270345,0.021119584683830447,0.7327658109163206,0.7613269721999103,0.7637575643411741,0.7802932933633254,0.7872759983144418
inception,Open comedo,5.0,0.12505081216543654,0.010045712522238116,0.11423839716197073,0.11956375465530118,0.1213587722022431,0.13039964483299873,0.139693491974669,5.0,0.19089528771503161,0.012487050880831456,0.17672719753497573,0.1840839245858438,0.1874983285474326,0.19725544807309497,0.20891153983381103,5.0,0.18122598692496267,0.006448488625091234,0.17321077189776116,0.17529553657781993,0.18471135531330088,0.18628090753866303,0.18663136329726845,5.0,0.4581960278323433,0.04521288711299391,0.4185305967635831,0.429939576026739,0.4337006180812128,0.48278819817342383,0.5260211501167581,5.0,0.9405912719990009,0.0023628387218500597,0.937744214525988,0.9392593174670077,0.9403060053599838,0.9417266161690178,0.943920206473008,5.0,0.7816686976361732,0.01563655698078301,0.7570894883896762,0.7770234658416674,0.7855034782243799,0.7916004697622496,0.7971265859628925
inception,Papule,5.0,0.1036670341940307,0.0019749448669256296,0.10168967724292137,0.1022177249255402,0.10301565323255586,0.10505350147311159,0.10635861409602448,5.0,0.16177246056214906,0.001529859707404877,0.15979769448600484,0.16047952205418964,0.16252814083228734,0.16284915999111646,0.163207785447147,5.0,0.1351028864645582,0.0013400289957412883,0.13351588591080019,0.13421982452043776,0.13499175390242968,0.13587352857932894,0.13691343940979456,5.0,0.5592069440052041,0.010115575821933957,0.5450435440653887,0.5563874168943105,0.556998520003681,0.5663822113346051,0.5712230277280349,5.0,0.9595194640811929,0.0013042377204907165,0.9577455209722624,0.9592913288445682,0.9593120742056617,0.9598754195809891,0.9613729768024828,5.0,0.7529878596728207,0.004353198761016055,0.7485818352139798,0.7488631432260243,0.7533265488114375,0.7553948837647564,0.7587728873479053
inception,Patch,5.0,0.1754251164589095,0.009284906260013402,0.16276645802794512,0.1711684858679526,0.1752141274550349,0.18084356280788433,0.18713294813573053,5.0,0.28484126685038735,0.014579630933728995,0.26448765474978303,0.2777929184537208,0.285348659292796,0.2947958821651497,0.3017812195904872,5.0,0.3064563182780541,0.023301781942395485,0.27499425198174865,0.29676021915898937,0.3016714895498324,0.327220750374992,0.3316348803247077,5.0,0.3773902014447901,0.007815337997267432,0.36951904510462835,0.3710703716844488,0.3782396751600316,0.37892758156707285,0.3891943337077685,5.0,0.8443924931598346,0.006208462382926777,0.8347187580165899,0.8420228462535486,0.8464515534532709,0.8487136202078377,0.8500556878679264,5.0,0.8176850479672451,0.01608436187897646,0.7917270782759914,0.8149646534424823,0.8200288348953114,0.8300271900419992,0.8316774831804412
inception,Plaque,5.0,0.2266989270977699,0.005309129172359699,0.2192969100532419,0.22355463021290903,0.22854636538589437,0.22920138033426876,0.2328953495025356,5.0,0.35147481571812184,0.008779163204805077,0.33863754341083036,0.34788425006190105,0.35341861435302035,0.35540510973604894,0.36202856102880854,5.0,0.3643059954405867,0.013346566824259082,0.34283085179867073,0.36379435193619947,0.3665845185960932,0.3690768062811941,0.37924344859077636,5.0,0.4578613571889054,0.008818583735096773,0.4494165774928886,0.4502123859560209,0.45666110686752975,0.46261819259392484,0.47039852303416296,5.0,0.8259196711215999,0.006719002312572906,0.8197732663426476,0.8213698048047685,0.8237355284590766,0.8282139532164118,0.8365058027850947,5.0,0.7924857500672174,0.004957032315206679,0.7866699385132924,0.7882668247154268,0.7938593802286144,0.7949095473586577,0.7987230595200961
inception,Pustule,5.0,0.021814386911130294,0.0007735010242218111,0.02092215156554769,0.021381452135104555,0.021687607602046098,0.022128325622082924,0.022952397630870196,5.0,0.0375320896745436,0.001064153566044902,0.036364194172315595,0.03690702966473426,0.037382256068765295,0.037845705227650434,0.03916126323925242,5.0,0.02443580200599734,0.0009729198460986333,0.02328610167815307,0.023880260490913775,0.024306139823721845,0.02487596677985402,0.025830541257344,5.0,0.5494622100463668,0.037278578431136036,0.5100537474100343,0.5215464341393463,0.5447953908255327,0.567946074717254,0.6029694031396662,5.0,0.9946137186290752,0.0005365171122995208,0.9939647256633387,0.9941395858832086,0.9948380405546488,0.9949031763635552,0.9952230646806248,5.0,0.7565875556474208,0.013646149716200056,0.7361406015924578,0.7501573341825025,0.7602172288636406,0.7671998176104287,0.7692227959880742
inception,Scale,5.0,0.2150025592845622,0.0033953332418672185,0.209698498738214,0.2141727093890629,0.2156547659070154,0.21678384610924026,0.2187029762792782,5.0,0.3347537957036441,0.005957673131095086,0.3246188160001222,0.33445445613010466,0.336891130863316,0.33860238405285464,0.3392021914718231,5.0,0.31540846199896705,0.00894308861774793,0.29942380821727643,0.31885605345173484,0.31930251430459317,0.3196759380207078,0.319783996000523,5.0,0.524000175566474,0.0059609263615577265,0.5150512856715387,0.5216723251744713,0.5249077794682276,0.5281733548569453,0.5301961326611879,5.0,0.8713223830694095,0.007092117170848044,0.86597363432331,0.8672638262092534,0.8684059691581529,0.8714980501546373,0.8834704355016937,5.0,0.7864568084805751,0.005068733269135565,0.7790502750794301,0.7851334497092862,0.7859060074901091,0.7899158003668341,0.7922785097572158
